memberNumber,year,month,comunity,cannon,water,electricity
403,2024,Febrero,80,12.50,8,9
404,2024,Febrero,80,12.50,4,41
405,2024,Febrero,80,12.50,3,85
406,2024,Febrero,80,12.50,30,33
407,2024,Febrero,80,12.50,9,70
408,2024,Febrero,80,12.50,14,3
409,2024,Febrero,80,12.50,13,117
410,2024,Febrero,80,12.50,24,92
411,2024,Febrero,80,12.50,26,57
412,2024,Febrero,80,12.50,19,25
413,2024,Febrero,80,12.50,2,109
414,2024,Febrero,80,12.50,28,13
415 - 417,2024,Febrero,160,25,29,79
416,2024,Febrero,80,12.50,13,56
418,2024,Febrero,80,12.50,26,112
419,2024,Febrero,80,12.50,22,47
420,2024,Febrero,80,12.50,29,2
422,2024,Febrero,80,12.50,0,64
421 - 423,2024,Febrero,160,25,9,20
424,2024,Febrero,80,12.50,14,88
425,2024,Febrero,80,12.50,26,44
426,2024,Febrero,80,12.50,11,10
427,2024,Febrero,80,12.50,7,119
428,2024,Febrero,80,12.50,0,58
429,2024,Febrero,80,12.50,18,94
430,2024,Febrero,80,12.50,15,5
431,2024,Febrero,80,12.50,23,108
432,2024,Febrero,80,12.50,6,30
433,2024,Febrero,80,12.50,27,102
434,2024,Febrero,80,12.50,17,21
435,2024,Febrero,80,12.50,3,77
436,2024,Febrero,80,12.50,15,61
437,2024,Febrero,80,12.50,6,35
438,2024,Febrero,80,12.50,20,69
439,2024,Febrero,80,12.50,27,90
440,2024,Febrero,80,12.50,14,26
441,2024,Febrero,80,12.50,21,71
442,2024,Febrero,80,12.50,18,83
443,2024,Febrero,80,12.50,30,42
444,2024,Febrero,80,12.50,9,110
445,2024,Febrero,80,12.50,3,84
446,2024,Febrero,80,12.50,1,31
447,2024,Febrero,80,12.50,0,100
448,2024,Febrero,80,12.50,12,18
449,2024,Febrero,80,12.50,23,49
450,2024,Febrero,80,12.50,6,60
451,2024,Febrero,80,12.50,20,36
452,2024,Febrero,80,12.50,22,115
453 - 455,2024,Febrero,160,25,4,11
454,2024,Febrero,80,12.50,18,65
456,2024,Febrero,80,12.50,30,91
457,2024,Febrero,80,12.50,0,43
458,2024,Febrero,80,12.50,14,117
459,2024,Febrero,80,12.50,18,67
460,2024,Febrero,80,12.50,2,81
501,2024,Febrero,80,12.50,22,54
503,2024,Febrero,80,12.50,7,1
505,2024,Febrero,80,12.50,23,78
507,2024,Febrero,80,12.50,20,116
509,2024,Febrero,80,12.50,30,8
511,2024,Febrero,80,12.50,24,19
513,2024,Febrero,80,12.50,9,106
515,2024,Febrero,80,12.50,26,34
517,2024,Febrero,80,12.50,30,99
519,2024,Febrero,80,12.50,17,40
521,2024,Febrero,80,12.50,3,72
523,2024,Febrero,80,12.50,29,86
525,2024,Febrero,80,12.50,11,50
527,2024,Febrero,80,12.50,5,22
529,2024,Febrero,80,12.50,27,107
531,2024,Febrero,80,12.50,29,0
533,2024,Febrero,80,12.50,6,103
535,2024,Febrero,80,12.50,29,80
537,2024,Febrero,80,12.50,22,27
539,2024,Febrero,80,12.50,20,114
541,2024,Febrero,80,12.50,28,98
543,2024,Febrero,80,12.50,29,120
545,2024,Febrero,80,12.50,2,74
547,2024,Febrero,80,12.50,29,45
549,2024,Febrero,80,12.50,4,55
551,2024,Febrero,80,12.50,28,32
553,2024,Febrero,80,12.50,17,75
555,2024,Febrero,80,12.50,22,93
557,2024,Febrero,80,12.50,9,15
559,2024,Febrero,80,12.50,23,66
601,2024,Febrero,80,12.50,8,28
602,2024,Febrero,80,12.50,17,105
603,2024,Febrero,80,12.50,14,73
604,2024,Febrero,80,12.50,3,89
